﻿﻿"
		我曾经听到中国工程院院士，食品安全专家陈君石表示，转基因大豆致癌毫无根据的。
		",前边的云磐,
﻿"
		看到一条消息：转基因致癌，中国转基因食品名单：甜玉米、紫薯、彩色棉花、圣女果、彩椒、黑米花生、木瓜、冬枣、转基因大豆（番茄、大米）……如果这是真的，那么我们只能默默地让转基因在我们身上致病。想到后代，不免恐惧。愿我们多知道一些真相，少一点恐惧，不只是转基因…… ​
		",旅行中拒绝旅行,
﻿"
		转基因大豆致癌已是人神共知的宇宙真理。可有些为了几个臭钱已丧失了人伦的中国人却偏偏装作看不见听不到。//@电视老人:崔永元怂了，前一个微博因为什么原因被删，一个字也不敢提，为什么啊？说啊？
		",秦岭山如画,2017-05-20 11:12
﻿"
		转基因大豆致癌已是人神共知的宇宙真理。可有些为了几个臭钱已丧失了人伦的中国人却偏偏装作看不见听不到。
		",秦岭山如画,
﻿"
		转基因大豆致癌已是人神共知的宇宙真理。可有些为了几个臭钱已丧失了人伦的中国人却偏偏装作看不见听不到。
		",秦岭山如画,2017-05-16 12:44
﻿"
		【10大科技谣言，你中过几枪？】①Wifi能杀精；②转基因饮料影响猪健康；③N95口罩最多使用半小时；④电厂烟囱排放的白烟是PM2.5主要来源；⑤第一口奶可产生依赖；⑥快餐店冰块比马桶还脏；⑦自来水中有避孕药；⑧口服胶原蛋白可美容；⑨转基因大豆致癌；⑩吃槟榔不会致癌。 ​
		",用户6200490097,
﻿"
		我曾经听到中国工程院院士，食品安全专家陈君石表示，转基因大豆致癌毫无根据的。//@孟山都中国:欧洲各国转基因农产品进口总量仅次于中国，是全球第二大转基因农产品进口国。
		",看见阳光歇了,
﻿"
		【10大科技谣言，你中过几枪？】①Wifi能杀精；②转基因饮料影响猪健康；③N95口罩最多使用半小时；④电厂烟囱排放的白烟是PM2.5主要来源；⑤第一口奶可产生依赖；⑥快餐店冰块比马桶还脏；⑦自来水中有避孕药；⑧口服胶原蛋白可美容；⑨转基因大豆致癌；⑩吃槟榔不会致癌。 ​
		",用户6193924322,2017-05-14 08:49
﻿"
		回复@成都航院软件俱乐部:大规模种植不假，飞机喷洒可以致癌的草甘霖除草剂，置使转基因大豆含有超量的草甘霖农药残留现在美国数以万计的农民起诉孟山都，要求赔偿。你耳聋眼瞎还继续舔孟山都的屁眼，科学技术是一把双刃剑即可以造福人类，也可以危害人类，越战中使用的生化武器“橙剂”不就是孟山都的前身制造的吗！！！
		",北极星-xdw,
﻿"
		我曾经听到中国工程院院士，食品安全专家陈君石表示，转基因大豆致癌毫无根据的。 //@想念小白鞋岩: 美国人的糖，都是转基因的，而且都是自己吃的。//@孟山都中国:#孟·精选# 
		",我愿意一直等下,
﻿"
		富含草甘膦的转基因大豆致癌已经是毋庸置疑的！只要中国转基因食品泛滥，消化道肿瘤高发就不可避免，这不是讲究""合理饮食""所能解决的，因为源头在那里。
		",曹明华和曹明逸,2017-05-14 07:43
﻿﻿﻿"
		我曾经听到中国工程院院士，食品安全专家陈君石表示，转基因大豆致癌毫无根据的。
		",前边的云磐,
﻿"
		看到一条消息：转基因致癌，中国转基因食品名单：甜玉米、紫薯、彩色棉花、圣女果、彩椒、黑米花生、木瓜、冬枣、转基因大豆（番茄、大米）……如果这是真的，那么我们只能默默地让转基因在我们身上致病。想到后代，不免恐惧。愿我们多知道一些真相，少一点恐惧，不只是转基因…… ​
		",旅行中拒绝旅行,
﻿"
		转基因大豆致癌已是人神共知的宇宙真理。可有些为了几个臭钱已丧失了人伦的中国人却偏偏装作看不见听不到。//@电视老人:崔永元怂了，前一个微博因为什么原因被删，一个字也不敢提，为什么啊？说啊？
		",秦岭山如画,2017-05-20 11:12
﻿"
		转基因大豆致癌已是人神共知的宇宙真理。可有些为了几个臭钱已丧失了人伦的中国人却偏偏装作看不见听不到。
		",秦岭山如画,
﻿"
		转基因大豆致癌已是人神共知的宇宙真理。可有些为了几个臭钱已丧失了人伦的中国人却偏偏装作看不见听不到。
		",秦岭山如画,2017-05-16 12:44
﻿"
		【10大科技谣言，你中过几枪？】①Wifi能杀精；②转基因饮料影响猪健康；③N95口罩最多使用半小时；④电厂烟囱排放的白烟是PM2.5主要来源；⑤第一口奶可产生依赖；⑥快餐店冰块比马桶还脏；⑦自来水中有避孕药；⑧口服胶原蛋白可美容；⑨转基因大豆致癌；⑩吃槟榔不会致癌。 ​
		",用户6200490097,
﻿"
		我曾经听到中国工程院院士，食品安全专家陈君石表示，转基因大豆致癌毫无根据的。//@孟山都中国:欧洲各国转基因农产品进口总量仅次于中国，是全球第二大转基因农产品进口国。
		",看见阳光歇了,
﻿"
		【10大科技谣言，你中过几枪？】①Wifi能杀精；②转基因饮料影响猪健康；③N95口罩最多使用半小时；④电厂烟囱排放的白烟是PM2.5主要来源；⑤第一口奶可产生依赖；⑥快餐店冰块比马桶还脏；⑦自来水中有避孕药；⑧口服胶原蛋白可美容；⑨转基因大豆致癌；⑩吃槟榔不会致癌。 ​
		",用户6193924322,2017-05-14 08:49
﻿"
		回复@成都航院软件俱乐部:大规模种植不假，飞机喷洒可以致癌的草甘霖除草剂，置使转基因大豆含有超量的草甘霖农药残留现在美国数以万计的农民起诉孟山都，要求赔偿。你耳聋眼瞎还继续舔孟山都的屁眼，科学技术是一把双刃剑即可以造福人类，也可以危害人类，越战中使用的生化武器“橙剂”不就是孟山都的前身制造的吗！！！
		",北极星-xdw,
﻿"
